wave,date,country_code,context,issue,pct
EB103.3,2025-03-01,CY_TCC,pers,environment,7.000000000000001
EB104.1,2025-10-01,CY_TCC,pers,environment,1
EB105.2,2026-03-01,CY_TCC,pers,environment,6
EB101.3,2024-04-01,CZ,pers,environment,8
EB102.2,2024-10-01,CZ,pers,environment,4
EB103.3,2025-03-01,CZ,pers,environment,5
EB104.1,2025-10-01,CZ,pers,environment,5
EB105.2,2026-03-01,CZ,pers,environment,4
EB101.3,2024-04-01,D-E,pers,environment,8
EB102.2,2024-10-01,D-E,pers,environment,7.000000000000001
EB101.3,2024-04-01,D-W,pers,environment,15
EB102.2,2024-10-01,D-W,pers,environment,12
EB101.3,2024-04-01,DE,pers,environment,14.000000000000002
EB102.2,2024-10-01,DE,pers,environment,11
EB103.3,2025-03-01,DE,pers,environment,12
EB104.1,2025-10-01,DE,pers,environment,10
EB105.2,2026-03-01,DE,pers,environment,10
EB101.3,2024-04-01,DK,pers,environment,24
EB102.2,2024-10-01,DK,pers,environment,25
EB103.3,2025-03-01,DK,pers,environment,20
EB104.1,2025-10-01,DK,pers,environment,18
EB105.2,2026-03-01,DK,pers,environment,23
EB101.3,2024-04-01,EE,pers,environment,3
EB102.2,2024-10-01,EE,pers,environment,2
EB103.3,2025-03-01,EE,pers,environment,2
EB104.1,2025-10-01,EE,pers,environment,3
EB105.2,2026-03-01,EE,pers,environment,3
EB101.3,2024-04-01,EL,pers,environment,5
EB102.2,2024-10-01,EL,pers,environment,5
EB103.3,2025-03-01,EL,pers,environment,6
EB104.1,2025-10-01,EL,pers,environment,5
EB105.2,2026-03-01,EL,pers,environment,6
EB101.3,2024-04-01,ES,pers,environment,6
EB102.2,2024-10-01,ES,pers,environment,4
EB103.3,2025-03-01,ES,pers,environment,5
EB104.1,2025-10-01,ES,pers,environment,5
EB105.2,2026-03-01,ES,pers,environment,4
EB101.3,2024-04-01,EU,pers,environment,12
EB102.2,2024-10-01,EU,pers,environment,10
EB103.3,2025-03-01,EU,pers,environment,10
EB104.1,2025-10-01,EU,pers,environment,9
EB105.2,2026-03-01,EU,pers,environment,9
EB101.3,2024-04-01,FI,pers,environment,16
EB102.2,2024-10-01,FI,pers,environment,18
EB103.3,2025-03-01,FI,pers,environment,13
EB104.1,2025-10-01,FI,pers,environment,12
EB105.2,2026-03-01,FI,pers,environment,14.000000000000002
EB101.3,2024-04-01,FR,pers,environment,11
EB102.2,2024-10-01,FR,pers,environment,11
EB103.3,2025-03-01,FR,pers,environment,12
EB104.1,2025-10-01,FR,pers,environment,8
EB105.2,2026-03-01,FR,pers,environment,9
EB101.3,2024-04-01,GE,pers,environment,4
EB102.2,2024-10-01,GE,pers,environment,2
EB103.3,2025-03-01,GE,pers,environment,3
EB104.1,2025-10-01,GE,pers,environment,4
EB105.2,2026-03-01,GE,pers,environment,5
EB101.3,2024-04-01,HR,pers,environment,7.000000000000001
EB102.2,2024-10-01,HR,pers,environment,6
EB103.3,2025-03-01,HR,pers,environment,8
EB104.1,2025-10-01,HR,pers,environment,6
EB105.2,2026-03-01,HR,pers,environment,5
EB101.3,2024-04-01,HU,pers,environment,7.000000000000001
EB102.2,2024-10-01,HU,pers,environment,7.000000000000001
EB103.3,2025-03-01,HU,pers,environment,5
EB104.1,2025-10-01,HU,pers,environment,7.000000000000001
EB105.2,2026-03-01,HU,pers,environment,6
EB101.3,2024-04-01,IE,pers,environment,11
EB102.2,2024-10-01,IE,pers,environment,10
EB103.3,2025-03-01,IE,pers,environment,6
EB104.1,2025-10-01,IE,pers,environment,7.000000000000001
EB105.2,2026-03-01,IE,pers,environment,8
EB101.3,2024-04-01,IT,pers,environment,14.000000000000002
EB102.2,2024-10-01,IT,pers,environment,11
EB103.3,2025-03-01,IT,pers,environment,9
EB104.1,2025-10-01,IT,pers,environment,10
EB105.2,2026-03-01,IT,pers,environment,12
EB101.3,2024-04-01,LT,pers,environment,4
EB102.2,2024-10-01,LT,pers,environment,4
EB103.3,2025-03-01,LT,pers,environment,5
EB104.1,2025-10-01,LT,pers,environment,3
EB105.2,2026-03-01,LT,pers,environment,3
EB101.3,2024-04-01,LU,pers,environment,11
EB102.2,2024-10-01,LU,pers,environment,10
EB103.3,2025-03-01,LU,pers,environment,7.000000000000001
EB104.1,2025-10-01,LU,pers,environment,6
EB105.2,2026-03-01,LU,pers,environment,7.000000000000001
EB101.3,2024-04-01,LV,pers,environment,3
EB102.2,2024-10-01,LV,pers,environment,2
EB103.3,2025-03-01,LV,pers,environment,3
EB104.1,2025-10-01,LV,pers,environment,2
EB105.2,2026-03-01,LV,pers,environment,1
EB101.3,2024-04-01,MD,pers,environment,4
EB102.2,2024-10-01,MD,pers,environment,3
EB103.3,2025-03-01,MD,pers,environment,5
EB104.1,2025-10-01,MD,pers,environment,4
EB105.2,2026-03-01,MD,pers,environment,3
EB101.3,2024-04-01,ME,pers,environment,9
EB102.2,2024-10-01,ME,pers,environment,10
EB103.3,2025-03-01,ME,pers,environment,9
EB104.1,2025-10-01,ME,pers,environment,5
EB105.2,2026-03-01,ME,pers,environment,8
EB101.3,2024-04-01,MK,pers,environment,3
EB102.2,2024-10-01,MK,pers,environment,7.000000000000001
EB103.3,2025-03-01,MK,pers,environment,9
EB104.1,2025-10-01,MK,pers,environment,8
EB105.2,2026-03-01,MK,pers,environment,5
EB101.3,2024-04-01,MT,pers,environment,28.000000000000004
EB102.2,2024-10-01,MT,pers,environment,24
EB103.3,2025-03-01,MT,pers,environment,19
EB104.1,2025-10-01,MT,pers,environment,26
EB105.2,2026-03-01,MT,pers,environment,20
EB101.3,2024-04-01,NL,pers,environment,28.999999999999996
EB102.2,2024-10-01,NL,pers,environment,28.000000000000004
EB103.3,2025-03-01,NL,pers,environment,25
EB104.1,2025-10-01,NL,pers,environment,23
EB105.2,2026-03-01,NL,pers,environment,19
EB101.3,2024-04-01,PL,pers,environment,7.000000000000001
EB102.2,2024-10-01,PL,pers,environment,9
EB103.3,2025-03-01,PL,pers,environment,7.000000000000001
EB104.1,2025-10-01,PL,pers,environment,6
